api_pair_name,safety_family,safe_mean_ms,unsafe_mean_ms,safe_over_unsafe_ratio
candidate_alloc_collections_btree_map_insert_after_unchecked_3418,Ordering_and_Cursor_Position,3.83089,3.934248,0.973729
candidate_alloc_collections_btree_map_insert_after_unchecked_3623,Ordering_and_Cursor_Position,3.951259,4.306068,0.917603
candidate_alloc_collections_btree_map_insert_before_unchecked_3461,Ordering_and_Cursor_Position,3.913773,4.147011,0.943758
candidate_alloc_collections_btree_map_insert_before_unchecked_3641,Ordering_and_Cursor_Position,3.946006,4.144436,0.952121
candidate_alloc_collections_btree_set_insert_after_unchecked_2371,Ordering_and_Cursor_Position,5.860423,5.88606,0.995645
candidate_alloc_collections_btree_set_insert_after_unchecked_2457,Ordering_and_Cursor_Position,5.912258,5.92673,0.997558
candidate_alloc_collections_btree_set_insert_before_unchecked_2389,Ordering_and_Cursor_Position,5.895549,5.880035,1.002638
candidate_alloc_collections_btree_set_insert_before_unchecked_2475,Ordering_and_Cursor_Position,5.792244,5.964547,0.971112
candidate_alloc_ffi_c_str_from_vec_with_nul_unchecked_635,Encoding_and_Text_Validity,46.92262,38.183609,1.228868
candidate_alloc_rc_get_mut_unchecked_1983,Aliasing_Pinning_and_Exclusive_Access,20.008089,18.114845,1.104513
candidate_alloc_string_from_utf8_unchecked_1013,Encoding_and_Text_Validity,19.095056,1.978886,9.649397
candidate_alloc_sync_get_mut_unchecked_2688,Aliasing_Pinning_and_Exclusive_Access,37.450635,18.176519,2.060385
candidate_core_alloc_layout_from_size_align_unchecked_132,Layout_Initialization_and_Shape,19.087148,16.674623,1.144682
candidate_core_alloc_layout_from_size_alignment_unchecked_156,Layout_Initialization_and_Shape,18.952285,17.299103,1.095565
candidate_core_array_ascii_as_ascii_unchecked_39,Value_Validity_and_Representability,4.2147,1.969335,2.140165
candidate_core_ascii_ascii_char_digit_unchecked_516,Value_Validity_and_Representability,9.670906,8.461123,1.142981
candidate_core_ascii_ascii_char_from_u8_unchecked_478,Value_Validity_and_Representability,8.097106,8.016105,1.010105
