family,label,api_pair_name,safe_mean_ms,unsafe_mean_ms,safe_over_unsafe_ratio
Encoding,str::from_utf8,candidate_core_str_converts_from_utf8_unchecked_178,20.51131,2.027519,10.116458
Encoding,CStr::from_bytes_with_nul,candidate_core_ffi_c_str_from_bytes_with_nul_unchecked_388,66.193956,6.673191,9.919385
Arithmetic,u32::shl_exact,candidate_core_num_uint_macros_unchecked_shl_exact_2058,29.306673,13.765992,2.128918
Arithmetic,i32::shl_exact,candidate_core_num_int_macros_unchecked_shl_exact_1494,28.853246,14.266369,2.022466
Arithmetic,u32::shr_exact,candidate_core_num_uint_macros_unchecked_shr_exact_2243,19.660074,13.361696,1.471376
Arithmetic,i32::checked_neg,candidate_core_num_int_macros_unchecked_neg_1284,10.704278,8.288319,1.29149
Validity,slice::as_ascii,candidate_core_slice_ascii_as_ascii_unchecked_45,4.398265,1.957114,2.247322
Validity,char::from_u32,candidate_core_char_mod_from_u32_unchecked_141,11.144669,8.027195,1.388364
Validity,Alignment::new,candidate_core_mem_alignment_new_unchecked_155,14.522283,8.595551,1.689511
Aliasing,Arc::get_mut,candidate_alloc_sync_get_mut_unchecked_2688,37.450635,18.176519,2.060385
Aliasing,Rc::get_mut,candidate_alloc_rc_get_mut_unchecked_1983,20.008089,18.114845,1.104513
Aliasing,Pin::get_unchecked_mut,candidate_core_pin_get_unchecked_mut_1617,8.26786,8.311462,0.994754
Bounds,slice::split_at,candidate_core_slice_mod_split_at_unchecked_2038,14.832979,13.155956,1.127473
Bounds,slice::swap,candidate_core_slice_mod_swap_unchecked_948,40.753353,40.70574,1.00117
Variant,Option::unwrap,candidate_core_option_unwrap_unchecked_1128,14.009457,12.608829,1.111083
Variant,Result::unwrap_err,candidate_core_result_unwrap_err_unchecked_1685,12.715528,12.118684,1.04925
Ordering,BTreeMap::insert_after,candidate_alloc_collections_btree_map_insert_after_unchecked_3623,3.951259,4.306068,0.917603
Ordering,BTreeSet::insert_before,candidate_alloc_collections_btree_set_insert_before_unchecked_2475,5.792244,5.964547,0.971112
Layout,Layout::from_size_align,candidate_core_alloc_layout_from_size_align_unchecked_132,19.087148,16.674623,1.144682
Layout,Layout::from_size_alignment,candidate_core_alloc_layout_from_size_alignment_unchecked_156,18.952285,17.299103,1.095565
