family,label,api_pair_name,safe_mean_ms,unsafe_mean_ms,safe_over_unsafe_ratio
Encoding,str::from_utf8,candidate_core_str_converts_from_utf8_unchecked_178,24.102723,2.211279,10.899901
Encoding,CStr::from_bytes_with_nul,candidate_core_ffi_c_str_from_bytes_with_nul_unchecked_388,72.957624,8.285115,8.805868
Arithmetic,u32::shl_exact,candidate_core_num_uint_macros_unchecked_shl_exact_2058,33.307311,17.042153,1.954407
Arithmetic,i32::shl_exact,candidate_core_num_int_macros_unchecked_shl_exact_1494,32.600038,16.551014,1.96967
Arithmetic,u32::shr_exact,candidate_core_num_uint_macros_unchecked_shr_exact_2243,23.958947,18.589248,1.28886
Arithmetic,i32::checked_neg,candidate_core_num_int_macros_unchecked_neg_1284,11.375896,11.111695,1.023777
Validity,slice::as_ascii,candidate_core_slice_ascii_as_ascii_unchecked_45,6.597092,2.327661,2.834216
Validity,char::from_u32,candidate_core_char_mod_from_u32_unchecked_141,13.80774,9.240607,1.494246
Validity,Alignment::new,candidate_core_mem_alignment_new_unchecked_155,16.272977,9.785331,1.662997
Aliasing,Arc::get_mut,candidate_alloc_sync_get_mut_unchecked_2688,40.851768,20.037202,2.038796
Aliasing,Rc::get_mut,candidate_alloc_rc_get_mut_unchecked_1983,21.860311,20.118314,1.086588
Aliasing,Pin::get_unchecked_mut,candidate_core_pin_get_unchecked_mut_1617,9.548476,8.136679,1.17351
Bounds,slice::split_at,candidate_core_slice_mod_split_at_unchecked_2038,13.57586,12.86278,1.055438
Bounds,slice::swap,candidate_core_slice_mod_swap_unchecked_948,42.026021,42.0871,0.998549
Variant,Option::unwrap,candidate_core_option_unwrap_unchecked_1128,18.910965,19.702243,0.959838
Variant,Result::unwrap_err,candidate_core_result_unwrap_err_unchecked_1685,19.351279,19.70014,0.982291
Ordering,BTreeMap::insert_after,candidate_alloc_collections_btree_map_insert_after_unchecked_3623,6.434832,6.348799,1.013551
Ordering,BTreeSet::insert_before,candidate_alloc_collections_btree_set_insert_before_unchecked_2475,6.475969,7.609139,0.851078
Layout,Layout::from_size_align,candidate_core_alloc_layout_from_size_align_unchecked_132,21.221816,19.033794,1.114955
Layout,Layout::from_size_alignment,candidate_core_alloc_layout_from_size_alignment_unchecked_156,19.382986,19.561081,0.990895
