family,label,api_pair_name,safe_mean_ms,unsafe_mean_ms,safe_over_unsafe_ratio
Encoding,str::from_utf8,candidate_core_str_converts_from_utf8_unchecked_178,22.092382,2.304587,9.586266
Encoding,CStr::from_bytes_with_nul,candidate_core_ffi_c_str_from_bytes_with_nul_unchecked_388,74.829889,7.491631,9.988464
Arithmetic,u32::shl_exact,candidate_core_num_uint_macros_unchecked_shl_exact_2058,33.573189,17.466336,1.922166
Arithmetic,i32::shl_exact,candidate_core_num_int_macros_unchecked_shl_exact_1494,32.815112,16.640476,1.972006
Arithmetic,u32::shr_exact,candidate_core_num_uint_macros_unchecked_shr_exact_2243,23.257902,17.117218,1.358743
Arithmetic,i32::checked_neg,candidate_core_num_int_macros_unchecked_neg_1284,12.569271,10.119064,1.242138
Validity,slice::as_ascii,candidate_core_slice_ascii_as_ascii_unchecked_45,5.135315,2.289608,2.24288
Validity,char::from_u32,candidate_core_char_mod_from_u32_unchecked_141,12.91533,9.171427,1.408214
Validity,Alignment::new,candidate_core_mem_alignment_new_unchecked_155,16.945208,10.786986,1.570894
Aliasing,Arc::get_mut,candidate_alloc_sync_get_mut_unchecked_2688,41.461931,20.082997,2.064529
Aliasing,Rc::get_mut,candidate_alloc_rc_get_mut_unchecked_1983,22.23094,20.08561,1.106809
Aliasing,Pin::get_unchecked_mut,candidate_core_pin_get_unchecked_mut_1617,9.943945,10.156001,0.97912
Bounds,slice::split_at,candidate_core_slice_mod_split_at_unchecked_2038,16.172235,15.458398,1.046178
Bounds,slice::swap,candidate_core_slice_mod_swap_unchecked_948,45.50846,45.509042,0.999987
Variant,Option::unwrap,candidate_core_option_unwrap_unchecked_1128,18.256226,17.364419,1.051358
Variant,Result::unwrap_err,candidate_core_result_unwrap_err_unchecked_1685,18.046773,17.414984,1.036278
Ordering,BTreeMap::insert_after,candidate_alloc_collections_btree_map_insert_after_unchecked_3623,4.483133,4.443022,1.009028
Ordering,BTreeSet::insert_before,candidate_alloc_collections_btree_set_insert_before_unchecked_2475,6.493781,6.634534,0.978785
Layout,Layout::from_size_align,candidate_core_alloc_layout_from_size_align_unchecked_132,21.101748,18.869783,1.118282
Layout,Layout::from_size_alignment,candidate_core_alloc_layout_from_size_alignment_unchecked_156,19.553268,19.099666,1.023749
