family,label,api_pair_name,safe_mean_ms,unsafe_mean_ms,safe_over_unsafe_ratio
Encoding,str::from_utf8,candidate_core_str_converts_from_utf8_unchecked_178,22.355488,2.240171,9.979366
Encoding,CStr::from_bytes_with_nul,candidate_core_ffi_c_str_from_bytes_with_nul_unchecked_388,79.497759,7.863125,10.1102
Arithmetic,u32::shl_exact,candidate_core_num_uint_macros_unchecked_shl_exact_2058,33.548762,17.717221,1.893568
Arithmetic,i32::shl_exact,candidate_core_num_int_macros_unchecked_shl_exact_1494,36.175488,18.252487,1.981948
Arithmetic,u32::shr_exact,candidate_core_num_uint_macros_unchecked_shr_exact_2243,30.178971,17.437916,1.730652
Arithmetic,i32::checked_neg,candidate_core_num_int_macros_unchecked_neg_1284,14.540118,12.364516,1.175955
Validity,slice::as_ascii,candidate_core_slice_ascii_as_ascii_unchecked_45,5.108075,2.310007,2.211281
Validity,char::from_u32,candidate_core_char_mod_from_u32_unchecked_141,13.047913,9.267968,1.407851
Validity,Alignment::new,candidate_core_mem_alignment_new_unchecked_155,16.277249,10.147434,1.604075
Aliasing,Arc::get_mut,candidate_alloc_sync_get_mut_unchecked_2688,25.467257,19.764255,1.288551
Aliasing,Rc::get_mut,candidate_alloc_rc_get_mut_unchecked_1983,21.667902,19.728348,1.098313
Aliasing,Pin::get_unchecked_mut,candidate_core_pin_get_unchecked_mut_1617,9.708786,9.812286,0.989452
Bounds,slice::split_at,candidate_core_slice_mod_split_at_unchecked_2038,17.09532,16.147419,1.058703
Bounds,slice::swap,candidate_core_slice_mod_swap_unchecked_948,45.150827,45.172934,0.999511
Variant,Option::unwrap,candidate_core_option_unwrap_unchecked_1128,20.681894,20.109102,1.028484
Variant,Result::unwrap_err,candidate_core_result_unwrap_err_unchecked_1685,20.168741,20.256077,0.995688
Ordering,BTreeMap::insert_after,candidate_alloc_collections_btree_map_insert_after_unchecked_3623,10.349051,10.148017,1.01981
Ordering,BTreeSet::insert_before,candidate_alloc_collections_btree_set_insert_before_unchecked_2475,9.997032,9.814339,1.018615
Layout,Layout::from_size_align,candidate_core_alloc_layout_from_size_align_unchecked_132,28.252325,19.044441,1.483495
Layout,Layout::from_size_alignment,candidate_core_alloc_layout_from_size_alignment_unchecked_156,20.082688,18.960789,1.059169
