family,label,api_pair_name,safe_mean_ms,unsafe_mean_ms,safe_over_unsafe_ratio
Encoding,str::from_utf8,candidate_core_str_converts_from_utf8_unchecked_178,24.850158,2.275492,10.920787
Encoding,CStr::from_bytes_with_nul,candidate_core_ffi_c_str_from_bytes_with_nul_unchecked_388,85.517188,13.392547,6.385431
Arithmetic,u32::shl_exact,candidate_core_num_uint_macros_unchecked_shl_exact_2058,31.84832,18.190449,1.750826
Arithmetic,i32::shl_exact,candidate_core_num_int_macros_unchecked_shl_exact_1494,31.414304,17.42474,1.802856
Arithmetic,u32::shr_exact,candidate_core_num_uint_macros_unchecked_shr_exact_2243,30.001412,18.088701,1.658572
Arithmetic,i32::checked_neg,candidate_core_num_int_macros_unchecked_neg_1284,12.520822,11.131988,1.124761
Validity,slice::as_ascii,candidate_core_slice_ascii_as_ascii_unchecked_45,7.118255,2.294465,3.102359
Validity,char::from_u32,candidate_core_char_mod_from_u32_unchecked_141,14.242676,9.055049,1.572899
Validity,Alignment::new,candidate_core_mem_alignment_new_unchecked_155,13.813902,9.741221,1.418087
Aliasing,Arc::get_mut,candidate_alloc_sync_get_mut_unchecked_2688,26.449759,21.727649,1.217332
Aliasing,Rc::get_mut,candidate_alloc_rc_get_mut_unchecked_1983,21.442184,20.368537,1.052711
Aliasing,Pin::get_unchecked_mut,candidate_core_pin_get_unchecked_mut_1617,10.344001,10.607577,0.975152
Bounds,slice::split_at,candidate_core_slice_mod_split_at_unchecked_2038,19.525951,20.22599,0.965389
Bounds,slice::swap,candidate_core_slice_mod_swap_unchecked_948,47.8022,46.044853,1.038166
Variant,Option::unwrap,candidate_core_option_unwrap_unchecked_1128,28.864003,28.103232,1.027071
Variant,Result::unwrap_err,candidate_core_result_unwrap_err_unchecked_1685,28.100881,27.375512,1.026497
Ordering,BTreeMap::insert_after,candidate_alloc_collections_btree_map_insert_after_unchecked_3623,16.063631,15.038685,1.068154
Ordering,BTreeSet::insert_before,candidate_alloc_collections_btree_set_insert_before_unchecked_2475,14.207121,13.42564,1.058208
Layout,Layout::from_size_align,candidate_core_alloc_layout_from_size_align_unchecked_132,29.694185,20.752903,1.430845
Layout,Layout::from_size_alignment,candidate_core_alloc_layout_from_size_alignment_unchecked_156,19.442714,19.28639,1.008105
